user_id,conversion_date,revenue,product
U1204,08-03-2025,630,Pro Plan
U1097,19-03-2025,569,Basic Plan
U1743,19-03-2025,541,Subscription
U1873,23-03-2025,975,Subscription
U1944,04-03-2025,360,Subscription
U1024,13-03-2025,639,Basic Plan
U1517,22-03-2025,481,Pro Plan
U1402,07-03-2025,288,Basic Plan
U1986,26-03-2025,193,Subscription
U1506,16-03-2025,808,Subscription
U1324,27-03-2025,94,Basic Plan
U1603,23-03-2025,340,Subscription
U1394,28-03-2025,568,Pro Plan
U1038,18-03-2025,671,Pro Plan
U1132,19-03-2025,351,Pro Plan
U1460,29-03-2025,409,Pro Plan
U1071,26-03-2025,472,Pro Plan
U1581,18-03-2025,256,Pro Plan
U1840,19-03-2025,711,Basic Plan
U1013,21-03-2025,115,Basic Plan
U1845,11-03-2025,899,Subscription
U1605,13-03-2025,369,Subscription
U1712,09-03-2025,186,Basic Plan
U1983,07-03-2025,986,Pro Plan
U1268,01-03-2025,563,Pro Plan
U1391,04-03-2025,947,Pro Plan
U1452,19-03-2025,241,Pro Plan
U1490,20-03-2025,650,Pro Plan
U1982,17-03-2025,697,Subscription
U1372,14-03-2025,198,Subscription
U1387,08-03-2025,784,Basic Plan
U1951,16-03-2025,857,Pro Plan
U1856,27-03-2025,153,Basic Plan
U1420,18-03-2025,84,Basic Plan
U1090,20-03-2025,960,Subscription
U1805,21-03-2025,908,Basic Plan
U1613,08-03-2025,883,Basic Plan
U1832,18-03-2025,80,Basic Plan
U1237,05-03-2025,410,Basic Plan
U1918,02-03-2025,83,Subscription
U1474,23-03-2025,108,Subscription
U1786,17-03-2025,127,Pro Plan
U1709,14-03-2025,727,Subscription
U1037,01-03-2025,161,Basic Plan
U1615,04-03-2025,366,Basic Plan
U1422,17-03-2025,717,Pro Plan
U1608,26-03-2025,697,Pro Plan
U1700,27-03-2025,67,Subscription
U1309,27-03-2025,204,Pro Plan
U1174,10-03-2025,409,Pro Plan
U1393,16-03-2025,61,Subscription
U1827,20-03-2025,740,Basic Plan
U1779,27-03-2025,244,Pro Plan
U1997,09-03-2025,358,Basic Plan
U1898,22-03-2025,726,Basic Plan
U1516,10-03-2025,866,Subscription
U1039,19-03-2025,140,Subscription
U1088,15-03-2025,524,Subscription
U1616,07-03-2025,672,Pro Plan
U1098,26-03-2025,296,Pro Plan
U1865,18-03-2025,693,Subscription
U1777,11-03-2025,839,Subscription
U1804,15-03-2025,660,Subscription
U1959,06-03-2025,210,Pro Plan
U1256,16-03-2025,498,Basic Plan
U1665,17-03-2025,75,Pro Plan
U1282,16-03-2025,855,Pro Plan
U1266,10-03-2025,854,Pro Plan
U1149,28-03-2025,701,Basic Plan
U1310,14-03-2025,95,Subscription
U1413,29-03-2025,829,Pro Plan
U1053,12-03-2025,755,Pro Plan
U1120,27-03-2025,322,Pro Plan
U1084,18-03-2025,839,Subscription
U1696,26-03-2025,614,Basic Plan
U1466,24-03-2025,366,Basic Plan
U1507,04-03-2025,815,Subscription
U1254,02-03-2025,964,Basic Plan
U1375,12-03-2025,507,Subscription
U1123,13-03-2025,814,Pro Plan
U1424,22-03-2025,72,Subscription
U1230,15-03-2025,459,Subscription
U1076,23-03-2025,197,Basic Plan
U1431,13-03-2025,601,Basic Plan
U1656,07-03-2025,169,Pro Plan
U1961,09-03-2025,759,Subscription
U1093,04-03-2025,192,Basic Plan
U1945,26-03-2025,310,Subscription
U1441,30-03-2025,378,Subscription
U1762,09-03-2025,59,Pro Plan
U1382,26-03-2025,885,Pro Plan
U1677,24-03-2025,127,Basic Plan
U1900,01-03-2025,450,Basic Plan
U1362,24-03-2025,972,Subscription
U1000,09-03-2025,412,Subscription
U1107,26-03-2025,829,Basic Plan
U1909,03-03-2025,384,Basic Plan
U1003,10-03-2025,850,Pro Plan
U1566,27-03-2025,357,Pro Plan
U1351,02-03-2025,846,Subscription
U1844,08-03-2025,914,Basic Plan
U1508,04-03-2025,300,Basic Plan
U1396,05-03-2025,751,Basic Plan
U1800,23-03-2025,286,Pro Plan
U1162,17-03-2025,266,Basic Plan
U1283,22-03-2025,497,Subscription
