user_id,touch_date,channel,campaign_id,session_id,utm_source
U1000,30-01-2025,Facebook,F001,S11015,
U1000,31-01-2025,Google Ads,G002,S18415,Google Ads
U1000,01-02-2025,LinkedIn,L001,S72292,LinkedIn
U1000,02-02-2025,Facebook,F001,S16970,Facebook
U1000,03-02-2025,LinkedIn,L001,S30384,LinkedIn
U1001,01-01-2025,Google Ads,G002,S22763,
U1001,02-01-2025,Google Ads,G001,S90642,Google Ads
U1001,03-01-2025,Google Ads,G001,S20916,Google Ads
U1002,15-03-2025,LinkedIn,L001,S66397,LinkedIn
U1002,16-03-2025,Google Ads,G002,S63932,Google Ads
U1002,17-03-2025,Google Ads,G002,S47744,Google Ads
U1003,01-02-2025,Facebook,F002,S24489,Facebook
U1003,02-02-2025,Facebook,F002,S59922,Facebook
U1003,03-02-2025,LinkedIn,L001,S52944,LinkedIn
U1003,04-02-2025,Facebook,F002,S34285,Facebook
U1003,05-02-2025,LinkedIn,L001,S63871,LinkedIn
U1004,16-02-2025,LinkedIn,L001,S49764,LinkedIn
U1004,17-02-2025,Facebook,F002,S69494,Facebook
U1004,18-02-2025,Facebook,F002,S16949,
U1004,19-02-2025,Facebook,F002,S35934,Facebook
U1005,20-02-2025,LinkedIn,L001,S63413,LinkedIn
U1005,21-02-2025,Google Ads,G002,S80173,Google Ads
U1005,22-02-2025,LinkedIn,L001,S53088,LinkedIn
U1005,23-02-2025,Google Ads,G001,S65479,Google Ads
U1006,15-03-2025,Google Ads,G002,S83477,
U1006,16-03-2025,Google Ads,G002,S46586,Google Ads
U1007,16-03-2025,LinkedIn,L001,S34214,LinkedIn
U1007,17-03-2025,LinkedIn,L001,S16090,LinkedIn
U1007,18-03-2025,Facebook,F002,S51240,Facebook
U1007,19-03-2025,LinkedIn,L001,S43434,LinkedIn
U1008,01-02-2025,Facebook,F001,S33954,Facebook
U1008,02-02-2025,Google Ads,G001,S46668,Google Ads
U1009,21-01-2025,Facebook,F001,S26907,Facebook
U1009,22-01-2025,Facebook,F002,S91818,Facebook
U1009,23-01-2025,Google Ads,G002,S15240,Google Ads
U1010,25-02-2025,Facebook,F001,S62796,Facebook
U1010,26-02-2025,Google Ads,G002,S69399,Google Ads
U1010,27-02-2025,Google Ads,G001,S10302,Google Ads
U1011,25-02-2025,Facebook,F002,S83686,Facebook
U1011,26-02-2025,Facebook,F002,S14621,Facebook
U1011,27-02-2025,LinkedIn,L001,S15126,LinkedIn
U1011,28-02-2025,LinkedIn,L001,S94717,LinkedIn
U1012,18-01-2025,Facebook,F002,S45854,Facebook
U1012,19-01-2025,TikTok,T001,S20267,TikTok
U1012,20-01-2025,Facebook,F001,S16229,Facebook
U1012,21-01-2025,Facebook,F002,S13596,Facebook
U1013,25-01-2025,TikTok,T001,S92152,TikTok
U1013,26-01-2025,Google Ads,G002,S36069,Google Ads
U1013,27-01-2025,Facebook,F001,S91264,Facebook
U1013,28-01-2025,TikTok,T001,S70004,TikTok
U1013,29-01-2025,Facebook,F002,S44529,Facebook
U1014,25-02-2025,LinkedIn,L001,S13812,LinkedIn
U1014,26-02-2025,Google Ads,G001,S11605,
U1014,27-02-2025,LinkedIn,L001,S87149,LinkedIn
U1014,28-02-2025,LinkedIn,L001,S86125,LinkedIn
U1015,24-01-2025,LinkedIn,L001,S34818,LinkedIn
U1015,25-01-2025,LinkedIn,L001,S86323,LinkedIn
U1015,26-01-2025,TikTok,T001,S51427,TikTok
U1015,27-01-2025,TikTok,T001,S97886,TikTok
U1016,20-02-2025,Facebook,F001,S20954,Facebook
U1016,21-02-2025,TikTok,T001,S98236,TikTok
U1016,22-02-2025,TikTok,T001,S40105,TikTok
U1017,09-03-2025,LinkedIn,L001,S55587,LinkedIn
U1017,10-03-2025,Google Ads,G002,S88477,Google Ads
U1017,11-03-2025,TikTok,T001,S11917,TikTok
U1018,18-03-2025,LinkedIn,L001,S69383,LinkedIn
U1018,19-03-2025,Facebook,F001,S12219,
U1018,20-03-2025,Facebook,F001,S44387,Facebook
U1018,21-03-2025,Google Ads,G001,S29216,Google Ads
U1019,16-03-2025,LinkedIn,L001,S36614,LinkedIn
U1019,17-03-2025,LinkedIn,L001,S93524,LinkedIn
U1020,01-03-2025,TikTok,T001,S77444,TikTok
U1020,02-03-2025,TikTok,T001,S75441,TikTok
U1020,03-03-2025,TikTok,T001,S15415,TikTok
U1021,22-01-2025,TikTok,T001,S18007,TikTok
U1021,23-01-2025,LinkedIn,L001,S40523,LinkedIn
U1021,24-01-2025,Facebook,F001,S29282,Facebook
U1021,25-01-2025,LinkedIn,L001,S30611,LinkedIn
U1021,26-01-2025,Google Ads,G001,S53303,Google Ads
U1022,08-02-2025,TikTok,T001,S21954,TikTok
U1022,09-02-2025,Google Ads,G002,S28574,Google Ads
U1022,10-02-2025,Google Ads,G001,S21246,Google Ads
U1022,11-02-2025,LinkedIn,L001,S46455,LinkedIn
U1022,12-02-2025,TikTok,T001,S77506,TikTok
U1023,06-01-2025,LinkedIn,L001,S34519,LinkedIn
U1023,07-01-2025,Facebook,F002,S81324,Facebook
U1023,08-01-2025,Google Ads,G002,S10922,Google Ads
U1024,29-01-2025,Facebook,F001,S74484,Facebook
U1024,30-01-2025,LinkedIn,L001,S77779,LinkedIn
U1024,31-01-2025,Facebook,F002,S53872,Facebook
U1024,01-02-2025,Facebook,F002,S39486,Facebook
U1024,02-02-2025,TikTok,T001,S74435,TikTok
U1025,15-01-2025,Google Ads,G002,S24382,Google Ads
U1025,16-01-2025,TikTok,T001,S30609,TikTok
U1025,17-01-2025,LinkedIn,L001,S49666,LinkedIn
U1025,18-01-2025,TikTok,T001,S81315,TikTok
U1025,19-01-2025,LinkedIn,L001,S86325,LinkedIn
U1026,13-03-2025,LinkedIn,L001,S86077,LinkedIn
U1026,14-03-2025,LinkedIn,L001,S85916,LinkedIn
U1026,15-03-2025,TikTok,T001,S27368,TikTok
U1027,01-03-2025,LinkedIn,L001,S47219,LinkedIn
U1027,02-03-2025,TikTok,T001,S70279,TikTok
U1028,13-03-2025,LinkedIn,L001,S75310,LinkedIn
U1028,14-03-2025,Facebook,F001,S54327,Facebook
U1029,11-01-2025,LinkedIn,L001,S32116,LinkedIn
U1029,12-01-2025,Google Ads,G002,S29256,Google Ads
U1030,04-03-2025,Facebook,F001,S73374,Facebook
U1030,05-03-2025,Google Ads,G001,S67545,
U1031,26-02-2025,Google Ads,G002,S35150,Google Ads
U1031,27-02-2025,TikTok,T001,S83509,TikTok
U1031,28-02-2025,Facebook,F001,S67761,Facebook
U1031,01-03-2025,LinkedIn,L001,S51914,LinkedIn
U1031,02-03-2025,TikTok,T001,S77526,TikTok
U1032,11-03-2025,Google Ads,G002,S47148,Google Ads
U1032,12-03-2025,LinkedIn,L001,S29097,LinkedIn
U1032,13-03-2025,TikTok,T001,S37696,TikTok
U1032,14-03-2025,LinkedIn,L001,S29816,LinkedIn
U1032,15-03-2025,Google Ads,G002,S31566,Google Ads
U1033,18-02-2025,LinkedIn,L001,S51949,LinkedIn
U1033,19-02-2025,LinkedIn,L001,S43719,LinkedIn
U1034,03-03-2025,TikTok,T001,S37952,TikTok
U1034,04-03-2025,Google Ads,G001,S99106,Google Ads
U1034,05-03-2025,Facebook,F001,S58302,Facebook
