date,channel,campaign_id,campaign_name,spend
01-01-2025,Google Ads,G001,Google Ads Campaign G001,1160
01-01-2025,Google Ads,G002,Google Ads Campaign G002,1594
01-01-2025,Facebook,F001,Facebook Campaign F001,1430
01-01-2025,Facebook,F002,Facebook Campaign F002,1395
01-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1938
01-01-2025,TikTok,T001,TikTok Campaign T001,2469
02-01-2025,Google Ads,G001,Google Ads Campaign G001,766
02-01-2025,Google Ads,G002,Google Ads Campaign G002,1538
02-01-2025,Facebook,F001,Facebook Campaign F001,630
02-01-2025,Facebook,F002,Facebook Campaign F002,1782
02-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2435
02-01-2025,TikTok,T001,TikTok Campaign T001,430
03-01-2025,Google Ads,G001,Google Ads Campaign G001,1985
03-01-2025,Google Ads,G002,Google Ads Campaign G002,1069
03-01-2025,Facebook,F001,Facebook Campaign F001,1815
03-01-2025,Facebook,F002,Facebook Campaign F002,1515
03-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1255
03-01-2025,TikTok,T001,TikTok Campaign T001,1484
04-01-2025,Google Ads,G001,Google Ads Campaign G001,759
04-01-2025,Google Ads,G002,Google Ads Campaign G002,321
04-01-2025,Facebook,F001,Facebook Campaign F001,1047
04-01-2025,Facebook,F002,Facebook Campaign F002,774
04-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1382
04-01-2025,TikTok,T001,TikTok Campaign T001,2347
05-01-2025,Google Ads,G001,Google Ads Campaign G001,1275
05-01-2025,Google Ads,G002,Google Ads Campaign G002,2106
05-01-2025,Facebook,F001,Facebook Campaign F001,489
05-01-2025,Facebook,F002,Facebook Campaign F002,862
05-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2199
05-01-2025,TikTok,T001,TikTok Campaign T001,1567
06-01-2025,Google Ads,G001,Google Ads Campaign G001,1828
06-01-2025,Google Ads,G002,Google Ads Campaign G002,946
06-01-2025,Facebook,F001,Facebook Campaign F001,2368
06-01-2025,Facebook,F002,Facebook Campaign F002,1597
06-01-2025,LinkedIn,L001,LinkedIn Campaign L001,900
06-01-2025,TikTok,T001,TikTok Campaign T001,2361
07-01-2025,Google Ads,G001,Google Ads Campaign G001,541
07-01-2025,Google Ads,G002,Google Ads Campaign G002,2341
07-01-2025,Facebook,F001,Facebook Campaign F001,1663
07-01-2025,Facebook,F002,Facebook Campaign F002,2439
07-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1690
07-01-2025,TikTok,T001,TikTok Campaign T001,1778
08-01-2025,Google Ads,G001,Google Ads Campaign G001,1075
08-01-2025,Google Ads,G002,Google Ads Campaign G002,334
08-01-2025,Facebook,F001,Facebook Campaign F001,2255
08-01-2025,Facebook,F002,Facebook Campaign F002,1885
08-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1321
08-01-2025,TikTok,T001,TikTok Campaign T001,1429
09-01-2025,Google Ads,G001,Google Ads Campaign G001,1800
09-01-2025,Google Ads,G002,Google Ads Campaign G002,1002
09-01-2025,Facebook,F001,Facebook Campaign F001,1879
09-01-2025,Facebook,F002,Facebook Campaign F002,461
09-01-2025,LinkedIn,L001,LinkedIn Campaign L001,501
09-01-2025,TikTok,T001,TikTok Campaign T001,2281
10-01-2025,Google Ads,G001,Google Ads Campaign G001,1295
10-01-2025,Google Ads,G002,Google Ads Campaign G002,1115
10-01-2025,Facebook,F001,Facebook Campaign F001,755
10-01-2025,Facebook,F002,Facebook Campaign F002,1575
10-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1316
10-01-2025,TikTok,T001,TikTok Campaign T001,637
11-01-2025,Google Ads,G001,Google Ads Campaign G001,1178
11-01-2025,Google Ads,G002,Google Ads Campaign G002,1376
11-01-2025,Facebook,F001,Facebook Campaign F001,1091
11-01-2025,Facebook,F002,Facebook Campaign F002,1063
11-01-2025,LinkedIn,L001,LinkedIn Campaign L001,679
11-01-2025,TikTok,T001,TikTok Campaign T001,792
12-01-2025,Google Ads,G001,Google Ads Campaign G001,1480
12-01-2025,Google Ads,G002,Google Ads Campaign G002,2362
12-01-2025,Facebook,F001,Facebook Campaign F001,364
12-01-2025,Facebook,F002,Facebook Campaign F002,1667
12-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1452
12-01-2025,TikTok,T001,TikTok Campaign T001,2327
13-01-2025,Google Ads,G001,Google Ads Campaign G001,1795
13-01-2025,Google Ads,G002,Google Ads Campaign G002,1462
13-01-2025,Facebook,F001,Facebook Campaign F001,1822
13-01-2025,Facebook,F002,Facebook Campaign F002,691
13-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1998
13-01-2025,TikTok,T001,TikTok Campaign T001,718
14-01-2025,Google Ads,G001,Google Ads Campaign G001,678
14-01-2025,Google Ads,G002,Google Ads Campaign G002,2096
14-01-2025,Facebook,F001,Facebook Campaign F001,2388
14-01-2025,Facebook,F002,Facebook Campaign F002,2482
14-01-2025,LinkedIn,L001,LinkedIn Campaign L001,500
14-01-2025,TikTok,T001,TikTok Campaign T001,2163
15-01-2025,Google Ads,G001,Google Ads Campaign G001,1079
15-01-2025,Google Ads,G002,Google Ads Campaign G002,802
15-01-2025,Facebook,F001,Facebook Campaign F001,2051
15-01-2025,Facebook,F002,Facebook Campaign F002,1104
15-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2446
15-01-2025,TikTok,T001,TikTok Campaign T001,2195
16-01-2025,Google Ads,G001,Google Ads Campaign G001,1870
16-01-2025,Google Ads,G002,Google Ads Campaign G002,1260
16-01-2025,Facebook,F001,Facebook Campaign F001,1785
16-01-2025,Facebook,F002,Facebook Campaign F002,1328
16-01-2025,LinkedIn,L001,LinkedIn Campaign L001,802
16-01-2025,TikTok,T001,TikTok Campaign T001,697
17-01-2025,Google Ads,G001,Google Ads Campaign G001,1170
17-01-2025,Google Ads,G002,Google Ads Campaign G002,692
17-01-2025,Facebook,F001,Facebook Campaign F001,506
17-01-2025,Facebook,F002,Facebook Campaign F002,1338
17-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2181
17-01-2025,TikTok,T001,TikTok Campaign T001,1784
18-01-2025,Google Ads,G001,Google Ads Campaign G001,1163
18-01-2025,Google Ads,G002,Google Ads Campaign G002,863
18-01-2025,Facebook,F001,Facebook Campaign F001,1320
18-01-2025,Facebook,F002,Facebook Campaign F002,395
18-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2223
18-01-2025,TikTok,T001,TikTok Campaign T001,2057
19-01-2025,Google Ads,G001,Google Ads Campaign G001,1978
19-01-2025,Google Ads,G002,Google Ads Campaign G002,840
19-01-2025,Facebook,F001,Facebook Campaign F001,1359
19-01-2025,Facebook,F002,Facebook Campaign F002,1483
19-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2022
19-01-2025,TikTok,T001,TikTok Campaign T001,2119
20-01-2025,Google Ads,G001,Google Ads Campaign G001,1897
20-01-2025,Google Ads,G002,Google Ads Campaign G002,1095
20-01-2025,Facebook,F001,Facebook Campaign F001,1351
20-01-2025,Facebook,F002,Facebook Campaign F002,1943
20-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1663
20-01-2025,TikTok,T001,TikTok Campaign T001,2281
21-01-2025,Google Ads,G001,Google Ads Campaign G001,1654
21-01-2025,Google Ads,G002,Google Ads Campaign G002,1963
21-01-2025,Facebook,F001,Facebook Campaign F001,1829
21-01-2025,Facebook,F002,Facebook Campaign F002,2338
21-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1796
21-01-2025,TikTok,T001,TikTok Campaign T001,1708
22-01-2025,Google Ads,G001,Google Ads Campaign G001,1700
22-01-2025,Google Ads,G002,Google Ads Campaign G002,1606
22-01-2025,Facebook,F001,Facebook Campaign F001,1272
22-01-2025,Facebook,F002,Facebook Campaign F002,2068
22-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1582
22-01-2025,TikTok,T001,TikTok Campaign T001,1009
23-01-2025,Google Ads,G001,Google Ads Campaign G001,1779
23-01-2025,Google Ads,G002,Google Ads Campaign G002,1734
23-01-2025,Facebook,F001,Facebook Campaign F001,948
23-01-2025,Facebook,F002,Facebook Campaign F002,617
23-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1557
23-01-2025,TikTok,T001,TikTok Campaign T001,983
24-01-2025,Google Ads,G001,Google Ads Campaign G001,963
24-01-2025,Google Ads,G002,Google Ads Campaign G002,2298
24-01-2025,Facebook,F001,Facebook Campaign F001,1931
24-01-2025,Facebook,F002,Facebook Campaign F002,1795
24-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1436
24-01-2025,TikTok,T001,TikTok Campaign T001,2153
25-01-2025,Google Ads,G001,Google Ads Campaign G001,1820
25-01-2025,Google Ads,G002,Google Ads Campaign G002,863
25-01-2025,Facebook,F001,Facebook Campaign F001,1591
25-01-2025,Facebook,F002,Facebook Campaign F002,1936
25-01-2025,LinkedIn,L001,LinkedIn Campaign L001,998
25-01-2025,TikTok,T001,TikTok Campaign T001,2460
26-01-2025,Google Ads,G001,Google Ads Campaign G001,301
26-01-2025,Google Ads,G002,Google Ads Campaign G002,941
26-01-2025,Facebook,F001,Facebook Campaign F001,1889
26-01-2025,Facebook,F002,Facebook Campaign F002,1154
26-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2059
26-01-2025,TikTok,T001,TikTok Campaign T001,1961
27-01-2025,Google Ads,G001,Google Ads Campaign G001,1453
27-01-2025,Google Ads,G002,Google Ads Campaign G002,1376
27-01-2025,Facebook,F001,Facebook Campaign F001,2007
27-01-2025,Facebook,F002,Facebook Campaign F002,1995
27-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2033
27-01-2025,TikTok,T001,TikTok Campaign T001,1739
28-01-2025,Google Ads,G001,Google Ads Campaign G001,1135
28-01-2025,Google Ads,G002,Google Ads Campaign G002,502
28-01-2025,Facebook,F001,Facebook Campaign F001,422
28-01-2025,Facebook,F002,Facebook Campaign F002,700
28-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1066
28-01-2025,TikTok,T001,TikTok Campaign T001,593
29-01-2025,Google Ads,G001,Google Ads Campaign G001,497
29-01-2025,Google Ads,G002,Google Ads Campaign G002,2230
29-01-2025,Facebook,F001,Facebook Campaign F001,2491
29-01-2025,Facebook,F002,Facebook Campaign F002,908
29-01-2025,LinkedIn,L001,LinkedIn Campaign L001,1447
29-01-2025,TikTok,T001,TikTok Campaign T001,486
30-01-2025,Google Ads,G001,Google Ads Campaign G001,2094
30-01-2025,Google Ads,G002,Google Ads Campaign G002,959
30-01-2025,Facebook,F001,Facebook Campaign F001,2255
30-01-2025,Facebook,F002,Facebook Campaign F002,1669
30-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2286
30-01-2025,TikTok,T001,TikTok Campaign T001,1834
31-01-2025,Google Ads,G001,Google Ads Campaign G001,446
31-01-2025,Google Ads,G002,Google Ads Campaign G002,2034
31-01-2025,Facebook,F001,Facebook Campaign F001,2143
31-01-2025,Facebook,F002,Facebook Campaign F002,788
31-01-2025,LinkedIn,L001,LinkedIn Campaign L001,2259
31-01-2025,TikTok,T001,TikTok Campaign T001,1963
01-02-2025,Google Ads,G001,Google Ads Campaign G001,940
01-02-2025,Google Ads,G002,Google Ads Campaign G002,2102
01-02-2025,Facebook,F001,Facebook Campaign F001,2269
01-02-2025,Facebook,F002,Facebook Campaign F002,2498
01-02-2025,LinkedIn,L001,LinkedIn Campaign L001,1738
01-02-2025,TikTok,T001,TikTok Campaign T001,1934
02-02-2025,Google Ads,G001,Google Ads Campaign G001,562
02-02-2025,Google Ads,G002,Google Ads Campaign G002,2087
02-02-2025,Facebook,F001,Facebook Campaign F001,2491
02-02-2025,Facebook,F002,Facebook Campaign F002,923
02-02-2025,LinkedIn,L001,LinkedIn Campaign L001,1316
02-02-2025,TikTok,T001,TikTok Campaign T001,1180
03-02-2025,Google Ads,G001,Google Ads Campaign G001,2349
03-02-2025,Google Ads,G002,Google Ads Campaign G002,1627
03-02-2025,Facebook,F001,Facebook Campaign F001,752
03-02-2025,Facebook,F002,Facebook Campaign F002,1483
03-02-2025,LinkedIn,L001,LinkedIn Campaign L001,2356
03-02-2025,TikTok,T001,TikTok Campaign T001,1982
04-02-2025,Google Ads,G001,Google Ads Campaign G001,1454
04-02-2025,Google Ads,G002,Google Ads Campaign G002,703
04-02-2025,Facebook,F001,Facebook Campaign F001,2499
04-02-2025,Facebook,F002,Facebook Campaign F002,2401
04-02-2025,LinkedIn,L001,LinkedIn Campaign L001,1996
04-02-2025,TikTok,T001,TikTok Campaign T001,927
05-02-2025,Google Ads,G001,Google Ads Campaign G001,886
05-02-2025,Google Ads,G002,Google Ads Campaign G002,1948
05-02-2025,Facebook,F001,Facebook Campaign F001,1743
05-02-2025,Facebook,F002,Facebook Campaign F002,1745
05-02-2025,LinkedIn,L001,LinkedIn Campaign L001,403
05-02-2025,TikTok,T001,TikTok Campaign T001,553
06-02-2025,Google Ads,G001,Google Ads Campaign G001,1796
06-02-2025,Google Ads,G002,Google Ads Campaign G002,398
06-02-2025,Facebook,F001,Facebook Campaign F001,2184
06-02-2025,Facebook,F002,Facebook Campaign F002,2219
06-02-2025,LinkedIn,L001,LinkedIn Campaign L001,1177
06-02-2025,TikTok,T001,TikTok Campaign T001,637
07-02-2025,Google Ads,G001,Google Ads Campaign G001,1256
07-02-2025,Google Ads,G002,Google Ads Campaign G002,2004
07-02-2025,Facebook,F001,Facebook Campaign F001,460
07-02-2025,Facebook,F002,Facebook Campaign F002,1903
07-02-2025,LinkedIn,L001,LinkedIn Campaign L001,697
07-02-2025,TikTok,T001,TikTok Campaign T001,1600
08-02-2025,Google Ads,G001,Google Ads Campaign G001,1115
08-02-2025,Google Ads,G002,Google Ads Campaign G002,1827
08-02-2025,Facebook,F001,Facebook Campaign F001,2219
08-02-2025,Facebook,F002,Facebook Campaign F002,1715
08-02-2025,LinkedIn,L001,LinkedIn Campaign L001,1458
08-02-2025,TikTok,T001,TikTok Campaign T001,1518
09-02-2025,Google Ads,G001,Google Ads Campaign G001,700
09-02-2025,Google Ads,G002,Google Ads Campaign G002,939
09-02-2025,Facebook,F001,Facebook Campaign F001,759
09-02-2025,Facebook,F002,Facebook Campaign F002,1254
09-02-2025,LinkedIn,L001,LinkedIn Campaign L001,769
09-02-2025,TikTok,T001,TikTok Campaign T001,1345
10-02-2025,Google Ads,G001,Google Ads Campaign G001,1993
